flight_date,origin,destination,pos,fare_class,passengers,price
2025-07-25,DOH,JFK,UK,J,3,2596.0
2025-07-25,DOH,JFK,QA,F,1,5338.37
2025-07-25,DOH,CDG,AE,Y,2,892.93
2025-07-25,DOH,DXB,FR,F,1,4521.32
2025-07-25,DOH,JFK,AE,W,2,962.29
2025-07-25,DOH,CDG,US,F,2,4484.41
2025-07-25,DOH,JFK,AE,F,3,6303.98
2025-07-25,DOH,LHR,US,F,2,5501.0
2025-07-25,DOH,CDG,QA,W,3,1286.11
2025-07-25,DOH,LHR,FR,F,2,6227.77
2025-07-25,DOH,DXB,QA,F,4,5831.26
2025-07-25,DOH,DXB,AE,Y,3,746.18
2025-07-25,DOH,CDG,AE,J,6,3366.31
2025-07-25,DOH,CDG,UK,F,1,4623.95
2025-07-25,DOH,DXB,FR,W,4,1198.72
2025-07-25,DOH,CDG,AE,Y,1,1043.21
2025-07-25,DOH,DXB,FR,Y,4,1063.13
2025-07-25,DOH,CDG,FR,F,4,5030.88
2025-07-25,DOH,LHR,UK,F,2,4389.98
2025-07-25,DOH,CDG,QA,J,3,3373.71
2025-07-25,DOH,LHR,FR,J,4,3658.07
2025-07-25,DOH,JFK,FR,J,4,2434.67
2025-07-25,DOH,JFK,FR,J,10,3131.22
2025-07-25,DOH,LHR,QA,Y,1,1016.5
2025-07-25,DOH,CDG,AE,J,3,2659.01
2025-07-25,DOH,DXB,US,Y,3,954.71
2025-07-25,DOH,LHR,US,Y,5,770.78
2025-07-25,DOH,CDG,UK,Y,1,853.88
2025-07-25,DOH,LHR,AE,F,2,4217.91
2025-07-25,DOH,LHR,FR,J,3,2469.12
2025-07-25,DOH,LHR,FR,J,2,3095.66
2025-07-25,DOH,LHR,FR,J,3,2699.5
2025-07-25,DOH,CDG,UK,J,4,2805.54
2025-07-25,DOH,LHR,AE,J,4,2647.39
2025-07-25,DOH,LHR,AE,W,3,1363.44
2025-07-25,DOH,DXB,AE,J,5,3498.59
2025-07-25,DOH,LHR,AE,F,3,5921.41
2025-07-25,DOH,JFK,FR,W,5,1003.75
2025-07-25,DOH,LHR,QA,F,3,6290.9
2025-07-25,DOH,CDG,US,Y,2,716.66
2025-07-25,DOH,DXB,AE,J,2,2262.97
2025-07-25,DOH,CDG,US,W,4,1039.38
2025-07-25,DOH,DXB,QA,F,1,5600.01
2025-07-25,DOH,DXB,QA,J,2,3688.18
2025-07-25,DOH,LHR,QA,W,2,1109.35
2025-07-25,DOH,LHR,QA,J,4,2498.13
2025-07-25,DOH,JFK,US,W,2,1278.37
2025-07-25,DOH,JFK,FR,F,5,4373.98
2025-07-25,DOH,LHR,AE,W,3,972.0
2025-07-25,DOH,JFK,UK,F,3,6431.49
2025-07-25,DOH,DXB,AE,Y,3,852.89
2025-07-25,DOH,DXB,FR,F,3,5991.77
2025-07-25,DOH,DXB,QA,Y,3,808.17
2025-07-26,DOH,CDG,FR,W,7,1266.17
2025-07-26,DOH,CDG,UK,W,2,1432.49
2025-07-26,DOH,CDG,US,Y,3,887.61
2025-07-26,DOH,LHR,US,J,2,2941.2
2025-07-26,DOH,DXB,AE,W,3,1312.25
2025-07-26,DOH,CDG,FR,W,2,1257.47
2025-07-26,DOH,JFK,FR,Y,1,919.59
2025-07-26,DOH,DXB,AE,Y,6,632.65
2025-07-26,DOH,CDG,UK,Y,4,942.59
2025-07-26,DOH,JFK,AE,J,4,2427.4
2025-07-26,DOH,DXB,FR,Y,1,1051.53
2025-07-26,DOH,CDG,US,J,2,2549.8
2025-07-26,DOH,JFK,UK,Y,1,995.69
2025-07-26,DOH,DXB,AE,J,3,2210.19
2025-07-26,DOH,CDG,FR,W,1,1359.18
2025-07-26,DOH,JFK,FR,J,6,2267.85
2025-07-26,DOH,JFK,QA,J,1,3158.87
2025-07-26,DOH,JFK,FR,F,3,6265.29
2025-07-26,DOH,JFK,QA,F,3,4583.47
2025-07-26,DOH,JFK,UK,Y,2,927.98
2025-07-26,DOH,LHR,US,F,1,5029.71
2025-07-26,DOH,DXB,UK,J,1,3578.07
2025-07-26,DOH,DXB,UK,Y,1,787.56
2025-07-26,DOH,JFK,AE,J,3,2758.42
2025-07-26,DOH,CDG,AE,W,3,1182.76
2025-07-26,DOH,LHR,FR,F,4,5424.22
2025-07-26,DOH,DXB,QA,Y,3,822.56
2025-07-26,DOH,JFK,US,F,4,5239.21
2025-07-26,DOH,LHR,FR,F,2,6571.11
2025-07-26,DOH,CDG,FR,Y,2,655.26
2025-07-26,DOH,LHR,UK,F,3,6236.77
2025-07-26,DOH,JFK,QA,Y,3,608.24
2025-07-26,DOH,CDG,FR,Y,3,1013.27
2025-07-26,DOH,CDG,AE,F,3,4855.06
2025-07-26,DOH,CDG,FR,Y,1,810.88
2025-07-26,DOH,JFK,AE,Y,2,1063.97
2025-07-26,DOH,DXB,UK,J,3,2978.7
2025-07-26,DOH,JFK,AE,J,7,2721.41
2025-07-26,DOH,JFK,QA,F,2,5302.88
2025-07-26,DOH,CDG,QA,Y,1,911.22
2025-07-26,DOH,DXB,FR,F,1,6329.79
2025-07-26,DOH,CDG,UK,W,4,1426.4
2025-07-26,DOH,JFK,US,W,1,1213.36
2025-07-26,DOH,DXB,US,W,1,1424.39
2025-07-26,DOH,CDG,QA,J,5,3324.06
2025-07-26,DOH,CDG,FR,J,2,2507.34
2025-07-26,DOH,JFK,QA,J,7,2624.37
2025-07-26,DOH,JFK,AE,F,3,5236.02
2025-07-26,DOH,JFK,QA,W,5,1093.69
2025-07-26,DOH,JFK,QA,Y,2,1032.13
2025-07-26,DOH,JFK,UK,Y,2,631.93
2025-07-26,DOH,JFK,QA,W,1,1437.36
2025-07-26,DOH,DXB,FR,W,2,1033.24
2025-07-26,DOH,CDG,FR,J,5,3601.4
2025-07-26,DOH,DXB,UK,Y,2,764.26
2025-07-26,DOH,CDG,UK,J,1,2497.63
2025-07-26,DOH,CDG,US,Y,1,664.76
2025-07-26,DOH,DXB,US,J,2,3637.56
2025-07-26,DOH,CDG,US,W,1,1241.75
2025-07-26,DOH,LHR,FR,F,2,5247.09
2025-07-27,DOH,CDG,QA,Y,2,881.33
2025-07-27,DOH,LHR,US,F,4,5117.54
2025-07-27,DOH,JFK,AE,W,6,1422.11
2025-07-27,DOH,JFK,UK,Y,2,816.71
2025-07-27,DOH,JFK,AE,Y,2,1075.61
2025-07-27,DOH,CDG,QA,Y,2,671.1
2025-07-27,DOH,CDG,UK,Y,2,930.67
2025-07-27,DOH,LHR,AE,W,3,1018.33
2025-07-27,DOH,CDG,US,F,2,5752.18
2025-07-27,DOH,JFK,US,J,3,2457.68
2025-07-27,DOH,CDG,UK,Y,1,739.3
2025-07-27,DOH,CDG,FR,W,3,984.0
2025-07-27,DOH,JFK,UK,J,3,3726.39
2025-07-27,DOH,LHR,US,W,4,1152.07
2025-07-27,DOH,CDG,QA,Y,4,793.3
2025-07-27,DOH,DXB,QA,F,2,5538.48
2025-07-27,DOH,DXB,US,Y,2,862.19
2025-07-27,DOH,LHR,AE,J,2,2491.94
2025-07-27,DOH,JFK,FR,Y,3,1063.57
2025-07-27,DOH,DXB,AE,Y,1,945.75
2025-07-27,DOH,DXB,AE,W,1,1267.62
2025-07-27,DOH,JFK,AE,W,3,1245.15
2025-07-27,DOH,JFK,UK,Y,1,840.98
2025-07-27,DOH,DXB,UK,J,1,2896.99
2025-07-27,DOH,DXB,US,J,5,3216.61
2025-07-27,DOH,JFK,QA,F,6,4841.01
2025-07-27,DOH,DXB,US,W,2,1236.07
2025-07-27,DOH,LHR,FR,J,4,3748.6
2025-07-27,DOH,JFK,QA,F,3,5478.83
2025-07-27,DOH,LHR,UK,J,2,2362.86
2025-07-27,DOH,LHR,UK,W,3,1171.09
2025-07-27,DOH,DXB,US,Y,1,906.79
2025-07-27,DOH,LHR,QA,Y,1,695.62
2025-07-27,DOH,CDG,AE,J,6,2308.2
2025-07-27,DOH,DXB,US,J,3,2568.48
2025-07-27,DOH,JFK,QA,F,4,4687.52
2025-07-27,DOH,LHR,FR,W,6,1339.88
2025-07-27,DOH,LHR,UK,W,3,1226.45
2025-07-27,DOH,CDG,UK,J,3,3402.19
2025-07-27,DOH,DXB,FR,F,2,4793.56
2025-07-27,DOH,JFK,UK,W,3,1438.95
2025-07-27,DOH,JFK,QA,W,2,1159.73
2025-07-27,DOH,CDG,UK,Y,1,809.6
2025-07-27,DOH,CDG,FR,Y,3,757.27
2025-07-27,DOH,CDG,FR,J,5,3468.93
2025-07-27,DOH,DXB,QA,W,2,1054.58
2025-07-27,DOH,LHR,US,J,3,2734.14
2025-07-27,DOH,LHR,UK,J,1,2886.68
2025-07-27,DOH,CDG,AE,W,5,1055.26
2025-07-27,DOH,CDG,UK,Y,3,1021.56
2025-07-27,DOH,DXB,AE,J,1,3371.98
2025-07-27,DOH,LHR,AE,J,4,3598.8
2025-07-27,DOH,CDG,AE,F,7,5642.57
2025-07-27,DOH,CDG,UK,Y,2,943.54
2025-07-27,DOH,LHR,UK,F,4,6097.03
2025-07-27,DOH,JFK,QA,F,7,4477.24
2025-07-27,DOH,JFK,US,J,5,2631.53
2025-07-27,DOH,CDG,FR,W,5,1046.79
2025-07-27,DOH,LHR,US,W,3,1278.63
2025-07-27,DOH,CDG,UK,J,4,2223.95
2025-07-28,DOH,CDG,QA,W,1,1257.65
2025-07-28,DOH,LHR,UK,W,2,1253.33
2025-07-28,DOH,DXB,FR,W,4,1169.87
2025-07-28,DOH,JFK,FR,W,4,1109.47
2025-07-28,DOH,JFK,UK,J,2,2705.1
2025-07-28,DOH,CDG,QA,Y,7,1079.99
2025-07-28,DOH,CDG,AE,W,2,1101.31
2025-07-28,DOH,JFK,AE,F,2,5343.0
2025-07-28,DOH,CDG,UK,W,3,1233.82
2025-07-28,DOH,DXB,AE,Y,2,782.49
2025-07-28,DOH,JFK,UK,W,3,1392.74
2025-07-28,DOH,DXB,AE,Y,4,991.92
2025-07-28,DOH,DXB,AE,F,2,4526.93
2025-07-28,DOH,CDG,QA,W,6,994.42
2025-07-28,DOH,CDG,US,F,4,6270.13
2025-07-28,DOH,JFK,US,F,5,6035.26
2025-07-28,DOH,JFK,AE,W,4,1394.78
2025-07-28,DOH,JFK,FR,Y,3,645.33
2025-07-28,DOH,JFK,QA,W,4,1329.28
2025-07-28,DOH,CDG,QA,J,3,2749.96
2025-07-28,DOH,JFK,FR,J,4,2694.63
2025-07-28,DOH,LHR,UK,F,2,6002.46
2025-07-28,DOH,JFK,QA,Y,1,931.46
2025-07-28,DOH,LHR,AE,W,5,1428.38
2025-07-28,DOH,CDG,UK,F,6,5954.18
2025-07-28,DOH,CDG,FR,J,4,2650.01
2025-07-28,DOH,JFK,FR,W,3,1319.84
2025-07-28,DOH,JFK,UK,J,3,2313.79
2025-07-28,DOH,CDG,UK,W,4,1367.56
2025-07-28,DOH,LHR,US,J,4,3205.96
2025-07-28,DOH,CDG,FR,J,4,2851.02
2025-07-28,DOH,LHR,FR,Y,3,770.92
2025-07-28,DOH,LHR,US,J,1,2748.3
2025-07-28,DOH,JFK,AE,Y,5,794.92
2025-07-28,DOH,LHR,QA,J,1,2566.5
2025-07-28,DOH,CDG,AE,Y,1,847.07
2025-07-28,DOH,CDG,QA,J,2,2694.87
2025-07-28,DOH,JFK,US,J,6,2351.03
2025-07-28,DOH,LHR,AE,Y,1,965.72
2025-07-28,DOH,JFK,FR,J,4,2709.29
2025-07-28,DOH,CDG,US,Y,2,748.53
2025-07-28,DOH,DXB,FR,J,1,2609.04
2025-07-28,DOH,CDG,FR,F,4,5478.75
2025-07-28,DOH,JFK,FR,F,4,6263.86
2025-07-28,DOH,JFK,FR,Y,2,925.36
2025-07-28,DOH,JFK,FR,W,2,1260.31
2025-07-28,DOH,LHR,QA,Y,1,1077.09
2025-07-28,DOH,JFK,US,J,7,2873.5
2025-07-28,DOH,DXB,AE,W,7,1051.94
2025-07-28,DOH,DXB,FR,W,2,961.14
2025-07-28,DOH,LHR,US,W,5,1401.79
2025-07-28,DOH,LHR,AE,Y,3,853.93
2025-07-28,DOH,LHR,QA,F,4,5794.76
2025-07-28,DOH,DXB,US,W,1,1058.16
2025-07-28,DOH,DXB,FR,W,4,1275.09
2025-07-28,DOH,CDG,UK,W,1,1147.36
2025-07-28,DOH,CDG,US,W,6,1374.27
2025-07-28,DOH,CDG,FR,J,2,3756.3
2025-07-28,DOH,CDG,FR,Y,2,603.35
2025-07-28,DOH,CDG,QA,Y,1,790.22
2025-07-29,DOH,CDG,QA,W,2,1219.56
2025-07-29,DOH,JFK,AE,F,8,5635.76
2025-07-29,DOH,DXB,FR,Y,2,927.98
2025-07-29,DOH,DXB,QA,F,2,5942.32
2025-07-29,DOH,JFK,FR,J,6,3463.99
2025-07-29,DOH,JFK,FR,J,5,3559.87
2025-07-29,DOH,JFK,FR,Y,4,1069.55
2025-07-29,DOH,CDG,US,Y,3,1011.42
2025-07-29,DOH,CDG,AE,J,3,3251.31
2025-07-29,DOH,CDG,QA,J,3,3710.36
2025-07-29,DOH,DXB,FR,W,4,1014.4
2025-07-29,DOH,CDG,FR,W,8,1007.33
2025-07-29,DOH,DXB,US,J,3,3434.18
2025-07-29,DOH,LHR,UK,Y,2,672.51
2025-07-29,DOH,CDG,FR,W,3,1114.51
2025-07-29,DOH,LHR,AE,J,3,3816.73
2025-07-29,DOH,DXB,UK,W,1,1352.63
2025-07-29,DOH,JFK,UK,W,2,1286.23
2025-07-29,DOH,LHR,UK,Y,1,688.45
2025-07-29,DOH,LHR,FR,F,3,4842.56
2025-07-29,DOH,CDG,UK,Y,1,1070.67
2025-07-29,DOH,CDG,UK,F,4,5220.92
2025-07-29,DOH,LHR,UK,Y,2,975.72
2025-07-29,DOH,JFK,US,W,3,1436.42
2025-07-29,DOH,LHR,US,J,2,2785.87
2025-07-29,DOH,LHR,AE,J,4,2939.36
2025-07-29,DOH,DXB,FR,J,1,3093.37
2025-07-29,DOH,JFK,US,W,2,1184.55
2025-07-29,DOH,CDG,FR,F,5,4813.66
2025-07-29,DOH,LHR,US,W,1,1287.35
2025-07-29,DOH,DXB,AE,J,4,3746.72
2025-07-29,DOH,JFK,AE,J,3,2700.95
2025-07-29,DOH,DXB,QA,W,6,1086.25
2025-07-29,DOH,DXB,FR,F,2,6192.58
2025-07-29,DOH,LHR,AE,J,1,2166.82
2025-07-29,DOH,DXB,AE,Y,1,708.01
2025-07-29,DOH,LHR,QA,W,4,1017.09
2025-07-29,DOH,LHR,FR,W,1,1089.21
2025-07-29,DOH,JFK,AE,F,4,6377.14
2025-07-29,DOH,CDG,UK,J,3,3006.38
2025-07-29,DOH,LHR,FR,F,2,6361.68
2025-07-29,DOH,CDG,UK,J,3,3254.27
2025-07-29,DOH,DXB,FR,J,5,2945.12
2025-07-29,DOH,DXB,QA,Y,4,958.18
2025-07-29,DOH,CDG,US,W,3,1267.72
2025-07-29,DOH,CDG,US,J,2,3352.55
2025-07-29,DOH,CDG,UK,Y,1,941.01
2025-07-29,DOH,LHR,FR,Y,4,1012.03
2025-07-29,DOH,CDG,UK,Y,2,942.64
2025-07-29,DOH,DXB,AE,J,1,2447.77
2025-07-29,DOH,JFK,QA,F,4,5876.61
2025-07-29,DOH,JFK,US,W,2,1288.77
2025-07-29,DOH,DXB,FR,F,4,6290.59
2025-07-29,DOH,CDG,FR,F,4,4888.34
2025-07-29,DOH,LHR,AE,F,1,5743.68
2025-07-29,DOH,CDG,QA,W,6,1402.35
2025-07-29,DOH,DXB,FR,J,6,2682.09
2025-07-29,DOH,CDG,US,J,1,3790.6
2025-07-29,DOH,LHR,US,W,2,1226.21
2025-07-29,DOH,LHR,AE,F,4,4547.35
2025-07-30,DOH,DXB,FR,F,3,6591.1
2025-07-30,DOH,JFK,QA,W,4,1272.31
2025-07-30,DOH,JFK,UK,F,4,5392.24
2025-07-30,DOH,DXB,AE,Y,6,657.84
2025-07-30,DOH,DXB,US,J,2,2336.31
2025-07-30,DOH,CDG,US,F,1,5407.38
2025-07-30,DOH,CDG,AE,F,2,4414.58
2025-07-30,DOH,DXB,US,W,5,1365.08
2025-07-30,DOH,CDG,UK,J,3,3311.91
2025-07-30,DOH,CDG,FR,F,6,6096.51
2025-07-30,DOH,DXB,FR,Y,4,902.64
2025-07-30,DOH,CDG,US,F,3,4424.68
2025-07-30,DOH,JFK,US,W,1,1325.83
2025-07-30,DOH,JFK,FR,Y,1,657.89
2025-07-30,DOH,LHR,AE,F,2,4628.47
2025-07-30,DOH,DXB,QA,J,6,2992.5
2025-07-30,DOH,LHR,FR,F,1,4937.93
2025-07-30,DOH,CDG,UK,F,1,6334.51
2025-07-30,DOH,CDG,FR,F,3,4814.01
2025-07-30,DOH,DXB,US,W,1,1271.96
2025-07-30,DOH,LHR,US,W,2,1393.17
2025-07-30,DOH,JFK,UK,F,3,5230.81
2025-07-30,DOH,LHR,US,J,2,2365.12
2025-07-30,DOH,DXB,FR,F,5,4820.37
2025-07-30,DOH,JFK,FR,F,5,4731.2
2025-07-30,DOH,DXB,QA,W,2,975.12
2025-07-30,DOH,JFK,QA,F,4,5448.45
2025-07-30,DOH,CDG,QA,J,2,3293.71
2025-07-30,DOH,LHR,AE,J,1,3154.82
2025-07-30,DOH,CDG,UK,W,2,1414.19
2025-07-30,DOH,CDG,UK,J,2,3123.1
2025-07-30,DOH,LHR,QA,W,4,1261.97
2025-07-30,DOH,CDG,US,Y,6,916.54
2025-07-30,DOH,CDG,UK,J,1,2217.69
2025-07-30,DOH,DXB,AE,W,1,1064.43
2025-07-30,DOH,JFK,FR,Y,3,998.37
2025-07-30,DOH,CDG,US,Y,1,982.66
2025-07-30,DOH,CDG,FR,J,2,2227.53
2025-07-30,DOH,CDG,UK,W,4,1115.12
2025-07-30,DOH,DXB,US,J,5,3161.64
2025-07-30,DOH,CDG,US,Y,1,655.15
2025-07-30,DOH,DXB,UK,F,1,5881.63
2025-07-30,DOH,JFK,US,J,2,2967.94
2025-07-30,DOH,JFK,US,F,6,6453.02
2025-07-30,DOH,DXB,AE,J,4,2749.21
2025-07-30,DOH,DXB,US,J,2,2757.56
2025-07-30,DOH,CDG,FR,Y,3,932.43
2025-07-30,DOH,LHR,US,Y,3,692.61
2025-07-30,DOH,DXB,AE,Y,6,655.12
2025-07-30,DOH,JFK,QA,Y,1,772.88
2025-07-30,DOH,DXB,AE,J,4,2394.39
2025-07-30,DOH,DXB,FR,Y,5,780.83
2025-07-30,DOH,LHR,US,J,5,2243.37
2025-07-30,DOH,CDG,AE,Y,5,865.77
2025-07-30,DOH,CDG,US,J,2,3686.26
2025-07-30,DOH,DXB,QA,W,4,1005.85
2025-07-30,DOH,LHR,UK,Y,2,789.17
2025-07-30,DOH,CDG,US,F,5,5279.2
2025-07-30,DOH,DXB,QA,Y,4,733.58
2025-07-30,DOH,CDG,UK,W,3,1264.33
2025-07-31,DOH,DXB,UK,Y,5,651.16
2025-07-31,DOH,JFK,QA,J,3,2191.43
2025-07-31,DOH,LHR,US,W,2,1200.78
2025-07-31,DOH,CDG,AE,W,3,1271.4
2025-07-31,DOH,LHR,AE,J,3,3058.51
2025-07-31,DOH,CDG,QA,Y,2,868.17
2025-07-31,DOH,JFK,QA,J,2,2523.27
2025-07-31,DOH,LHR,UK,W,6,1430.31
2025-07-31,DOH,JFK,FR,Y,1,1069.3
2025-07-31,DOH,JFK,AE,J,3,3392.37
2025-07-31,DOH,LHR,US,F,2,4233.35
2025-07-31,DOH,DXB,US,J,1,2813.62
2025-07-31,DOH,DXB,QA,J,2,2287.9
2025-07-31,DOH,CDG,AE,W,1,1420.39
2025-07-31,DOH,LHR,FR,Y,2,1000.01
2025-07-31,DOH,CDG,US,Y,2,733.18
2025-07-31,DOH,DXB,AE,W,2,1048.45
2025-07-31,DOH,CDG,FR,W,1,1043.08
2025-07-31,DOH,LHR,UK,Y,2,1076.91
2025-07-31,DOH,CDG,AE,J,6,3696.08
2025-07-31,DOH,LHR,QA,F,4,6466.5
2025-07-31,DOH,LHR,QA,W,7,1438.59
2025-07-31,DOH,JFK,FR,J,3,3728.64
2025-07-31,DOH,JFK,FR,W,1,1367.8
2025-07-31,DOH,LHR,FR,Y,4,849.09
2025-07-31,DOH,CDG,UK,W,2,1264.32
2025-07-31,DOH,LHR,AE,W,1,1240.87
2025-07-31,DOH,DXB,AE,F,3,4321.26
2025-07-31,DOH,CDG,UK,W,1,992.73
2025-07-31,DOH,CDG,QA,F,2,5615.29
2025-07-31,DOH,LHR,US,Y,4,637.34
2025-07-31,DOH,LHR,AE,F,1,5011.59
2025-07-31,DOH,LHR,FR,F,2,6078.62
2025-07-31,DOH,DXB,QA,F,1,5595.4
2025-07-31,DOH,CDG,US,Y,4,973.86
2025-07-31,DOH,DXB,AE,W,2,1092.98
2025-07-31,DOH,CDG,QA,W,5,1268.57
2025-07-31,DOH,CDG,UK,J,2,2449.34
2025-07-31,DOH,DXB,FR,W,4,1409.46
2025-07-31,DOH,DXB,QA,W,2,1198.66
2025-07-31,DOH,LHR,AE,J,1,2641.91
2025-07-31,DOH,LHR,AE,W,6,1431.99
2025-07-31,DOH,CDG,US,Y,5,801.88
2025-07-31,DOH,LHR,US,F,1,5899.63
2025-07-31,DOH,JFK,UK,Y,1,673.23
2025-07-31,DOH,CDG,FR,F,2,5870.38
2025-07-31,DOH,LHR,AE,J,3,3571.64
2025-07-31,DOH,LHR,AE,W,3,1146.24
2025-07-31,DOH,DXB,US,J,3,2962.01
2025-07-31,DOH,LHR,QA,Y,5,1040.58
2025-07-31,DOH,LHR,QA,J,8,2586.87
2025-07-31,DOH,LHR,AE,J,2,3060.55
2025-07-31,DOH,DXB,QA,J,2,2163.79
2025-07-31,DOH,CDG,QA,Y,4,999.5
2025-07-31,DOH,CDG,UK,Y,4,732.77
2025-07-31,DOH,JFK,FR,Y,3,944.25
2025-07-31,DOH,DXB,UK,F,2,4358.59
2025-07-31,DOH,CDG,US,Y,2,938.86
2025-07-31,DOH,DXB,QA,J,3,2254.09
2025-07-31,DOH,DXB,AE,W,3,1210.11
2025-08-01,DOH,DXB,UK,W,7,938.0
2025-08-01,DOH,CDG,FR,F,1,5474.36
2025-08-01,DOH,JFK,US,W,1,987.02
2025-08-01,DOH,DXB,QA,J,5,2707.49
2025-08-01,DOH,CDG,AE,F,4,4113.15
2025-08-01,DOH,JFK,AE,W,1,927.65
2025-08-01,DOH,JFK,FR,J,1,2451.26
2025-08-01,DOH,DXB,AE,W,2,952.46
2025-08-01,DOH,JFK,QA,W,3,864.36
2025-08-01,DOH,LHR,QA,J,2,2375.33
2025-08-01,DOH,JFK,FR,J,4,1829.7
2025-08-01,DOH,DXB,UK,Y,3,727.97
2025-08-01,DOH,JFK,UK,Y,1,800.12
2025-08-01,DOH,CDG,UK,F,4,4256.34
2025-08-01,DOH,CDG,UK,Y,1,533.35
2025-08-01,DOH,LHR,US,Y,3,616.74
2025-08-01,DOH,CDG,UK,W,3,1186.64
2025-08-01,DOH,LHR,AE,F,3,3651.83
2025-08-01,DOH,JFK,FR,J,3,1991.97
2025-08-01,DOH,LHR,UK,Y,3,747.77
2025-08-01,DOH,DXB,US,J,10,2036.65
2025-08-01,DOH,JFK,AE,W,4,1150.14
2025-08-01,DOH,CDG,US,J,7,2578.12
2025-08-01,DOH,LHR,UK,Y,5,665.9
2025-08-01,DOH,JFK,AE,W,3,822.52
2025-08-01,DOH,JFK,QA,F,2,5184.16
2025-08-01,DOH,LHR,US,Y,8,719.32
2025-08-01,DOH,CDG,QA,W,5,1076.16
2025-08-01,DOH,DXB,UK,Y,3,849.43
2025-08-01,DOH,LHR,QA,Y,4,559.75
2025-08-01,DOH,JFK,FR,W,5,916.81
2025-08-01,DOH,JFK,US,Y,4,562.02
2025-08-01,DOH,LHR,FR,W,2,967.81
2025-08-01,DOH,JFK,FR,W,5,1163.25
2025-08-01,DOH,JFK,UK,J,1,2453.41
2025-08-01,DOH,CDG,US,Y,5,746.68
2025-08-01,DOH,JFK,FR,Y,1,569.98
2025-08-01,DOH,CDG,AE,J,4,2839.25
2025-08-01,DOH,JFK,US,W,1,1173.38
2025-08-01,DOH,CDG,QA,J,3,2532.72
