flight_id,class_code,days_before,cumulative_bookings
1,Q,7,0.66
1,Q,3,0.68
1,Q,1,0.68
1,Q,0,0.68
1,S,330,0.01
1,S,300,0.02
1,S,270,0.05
1,S,240,0.12
1,S,210,0.3
1,S,180,0.68
1,S,150,1.5
1,S,120,2.89
1,S,90,4.57
1,S,60,6.19
1,S,30,7.32
1,S,14,7.34
1,S,7,7.52
1,S,3,7.57
1,S,1,7.67
1,S,0,7.93
1,V,330,0.12
1,V,300,0.29
1,V,270,0.71
1,V,240,1.8
1,V,210,4.12
1,V,180,9.82
1,V,150,21.98
1,V,120,42.61
1,V,90,67.91
1,V,60,90.44
1,V,30,105.16
1,V,14,108.85
1,V,7,109.92
1,V,3,112.53
1,V,1,112.53
1,V,0,112.53
1,W,330,0.06
1,W,300,0.15
1,W,270,0.37
1,W,240,0.87
1,W,210,2.1
1,W,180,5.18
1,W,150,10.92
1,W,120,20.93
1,W,90,35.0
1,W,60,46.89
1,W,30,54.43
1,W,14,55.5
1,W,7,55.5
1,W,3,59.03
1,W,1,59.03
1,W,0,59.03
1,Y,330,0.0
1,Y,300,0.01
1,Y,270,0.01
1,Y,240,0.03
1,Y,210,0.07
1,Y,180,0.17
1,Y,150,0.38
1,Y,120,0.7
1,Y,90,1.15
1,Y,60,1.6
1,Y,30,1.84
1,Y,14,1.93
1,Y,7,1.93
1,Y,3,1.93
1,Y,1,1.95
1,Y,0,1.95
2,B,330,0.01
2,B,300,0.02
2,B,270,0.06
2,B,240,0.13
2,B,210,0.32
2,B,180,0.78
2,B,150,1.65
2,B,120,3.3
2,B,90,5.14
2,B,60,7.08
2,B,30,8.36
2,B,14,8.36
2,B,7,8.36
2,B,3,8.62
2,B,1,8.62
2,B,0,8.82
2,C,330,0.0
2,C,300,0.01
2,C,270,0.01
2,C,240,0.03
2,C,210,0.08
2,C,180,0.18
2,C,150,0.42
2,C,120,0.82
2,C,90,1.32
2,C,60,1.72
2,C,30,2.06
2,C,14,2.07
2,C,7,2.11
2,C,3,2.21
2,C,1,2.21
2,C,0,2.21
2,D,330,0.0
2,D,300,0.01
2,D,270,0.02
2,D,240,0.06
2,D,210,0.15
2,D,180,0.34
2,D,150,0.75
2,D,120,1.46
2,D,90,2.37
2,D,60,3.06
2,D,30,3.74
2,D,14,3.88
2,D,7,3.92
2,D,3,3.94
2,D,1,3.98
2,D,0,3.98
2,H,330,0.0
2,H,300,0.01
2,H,270,0.02
2,H,240,0.06
2,H,210,0.14
2,H,180,0.32
2,H,150,0.72
2,H,120,1.45
2,H,90,2.3
2,H,60,3.07
2,H,30,3.5
2,H,14,3.67
2,H,7,3.84
2,H,3,3.84
2,H,1,3.86
2,H,0,3.86
2,I,330,0.01
2,I,300,0.02
2,I,270,0.05
2,I,240,0.12
2,I,210,0.3
2,I,180,0.71
2,I,150,1.57
2,I,120,2.89
2,I,90,4.9
2,I,60,6.36
2,I,30,7.43
2,I,14,7.56
2,I,7,7.8
2,I,3,7.94
2,I,1,7.94
2,I,0,7.98
2,J,330,0.0
2,J,300,0.01
2,J,270,0.01
2,J,240,0.03
2,J,210,0.08
2,J,180,0.19
2,J,150,0.4
2,J,120,0.78
2,J,90,1.27
2,J,60,1.71
2,J,30,2.03
2,J,14,2.15
2,J,7,2.17
2,J,3,2.17
2,J,1,2.17
2,J,0,2.17
2,M,330,0.03
2,M,300,0.06
2,M,270,0.15
2,M,240,0.37
2,M,210,0.88
2,M,180,2.07
2,M,150,4.66
2,M,120,9.04
2,M,90,14.23
2,M,60,19.75
2,M,30,22.95
2,M,14,23.07
2,M,7,23.41
2,M,3,23.79
2,M,1,24.48
2,M,0,24.48
2,Q,330,0.01
2,Q,300,0.02
2,Q,270,0.06
2,Q,240,0.14
2,Q,210,0.32
2,Q,180,0.78
2,Q,150,1.69
2,Q,120,3.31
2,Q,90,5.37
2,Q,60,7.14
2,Q,30,8.13
2,Q,14,8.57
2,Q,7,8.57
2,Q,3,8.77
2,Q,1,8.77
2,Q,0,8.82
2,S,330,0.04
2,S,300,0.1
2,S,270,0.24
2,S,240,0.58
2,S,210,1.47
2,S,180,3.44
2,S,150,7.44
2,S,120,14.15
2,S,90,22.83
2,S,60,30.42
2,S,30,35.57
2,S,14,38.77
2,S,7,38.77
2,S,3,38.77
2,S,1,38.77
2,S,0,38.77
2,V,330,0.01
2,V,300,0.03
2,V,270,0.07
2,V,240,0.18
2,V,210,0.43
2,V,180,0.99
2,V,150,2.17
2,V,120,4.4
2,V,90,6.99
2,V,60,9.32
2,V,30,10.72
2,V,14,11.19
2,V,7,11.42
2,V,3,11.61
2,V,1,11.64
2,V,0,11.64
2,W,330,0.02
2,W,300,0.04
2,W,270,0.1
2,W,240,0.24
2,W,210,0.57
2,W,180,1.31
2,W,150,2.96
2,W,120,5.59
2,W,90,9.18
2,W,60,12.13
2,W,30,14.54
2,W,14,14.74
2,W,7,15.1
2,W,3,15.66
2,W,1,15.66
2,W,0,15.66
2,Y,330,0.02
2,Y,300,0.04
2,Y,270,0.09
2,Y,240,0.21
2,Y,210,0.53
2,Y,180,1.25
2,Y,150,2.75
2,Y,120,5.37
2,Y,90,8.48
2,Y,60,11.18
2,Y,30,13.53
2,Y,14,13.96
2,Y,7,14.4
2,Y,3,14.48
2,Y,1,14.54
2,Y,0,14.54
3,B,330,0.0
3,B,300,0.01
3,B,270,0.02
3,B,240,0.04
3,B,210,0.09
3,B,180,0.23
3,B,150,0.48
3,B,120,0.91
3,B,90,1.5
3,B,60,2.06
3,B,30,2.4
3,B,14,2.4
3,B,7,2.41
3,B,3,2.55
3,B,1,2.55
3,B,0,2.55
3,C,330,0.01
3,C,300,0.02
3,C,270,0.06
3,C,240,0.14
3,C,210,0.33
3,C,180,0.77
3,C,150,1.66
3,C,120,3.34
3,C,90,5.27
3,C,60,6.95
3,C,30,8.0
3,C,14,8.42
3,C,7,8.54
3,C,3,8.54
3,C,1,8.63
3,C,0,8.69
3,D,330,0.01
3,D,300,0.03
3,D,270,0.07
3,D,240,0.16
3,D,210,0.39
3,D,180,0.96
3,D,150,2.07
3,D,120,3.91
3,D,90,6.65
3,D,60,8.87
3,D,30,10.15
3,D,14,10.29
3,D,7,10.88
3,D,3,10.88
3,D,1,10.99
3,D,0,10.99
3,H,330,0.04
3,H,300,0.1
3,H,270,0.24
3,H,240,0.63
3,H,210,1.5
3,H,180,3.52
3,H,150,7.47
3,H,120,14.52
3,H,90,24.54
3,H,60,32.57
3,H,30,38.11
3,H,14,39.41
3,H,7,39.57
3,H,3,39.97
3,H,1,40.65
3,H,0,40.65
3,I,330,0.0
3,I,300,0.0
3,I,270,0.0
3,I,240,0.01
3,I,210,0.02
3,I,180,0.05
3,I,150,0.11
3,I,120,0.21
3,I,90,0.34
3,I,60,0.46
3,I,30,0.55
3,I,14,0.56
3,I,7,0.56
3,I,3,0.56
3,I,1,0.58
3,I,0,0.58
3,J,330,0.0
3,J,300,0.01
3,J,270,0.02
3,J,240,0.04
3,J,210,0.1
3,J,180,0.23
3,J,150,0.52
3,J,120,1.01
3,J,90,1.6
3,J,60,2.14
3,J,30,2.46
3,J,14,2.65
3,J,7,2.65
3,J,3,2.69
3,J,1,2.69
3,J,0,2.72
3,M,330,0.0
3,M,300,0.0
3,M,270,0.01
3,M,240,0.01
3,M,210,0.03
3,M,180,0.08
3,M,150,0.17
3,M,120,0.33
3,M,90,0.52
3,M,60,0.72
3,M,30,0.82
3,M,14,0.9
3,M,7,0.9
3,M,3,0.9
3,M,1,0.9
3,M,0,0.91
3,Q,330,0.05
3,Q,300,0.12
3,Q,270,0.3
3,Q,240,0.69
3,Q,210,1.72
3,Q,180,4.06
3,Q,150,8.8
3,Q,120,17.12
3,Q,90,26.78
3,Q,60,36.54
3,Q,30,41.07
3,Q,14,42.92
3,Q,7,45.92
3,Q,3,45.92
3,Q,1,45.92
3,Q,0,45.92
3,S,330,0.0
3,S,300,0.0
3,S,270,0.01
3,S,240,0.02
3,S,210,0.05
3,S,180,0.12
3,S,150,0.25
3,S,120,0.51
3,S,90,0.84
3,S,60,1.11
3,S,30,1.28
3,S,14,1.35
3,S,7,1.35
3,S,3,1.35
3,S,1,1.39
3,S,0,1.39
3,V,330,0.02
3,V,300,0.06
3,V,270,0.14
3,V,240,0.34
3,V,210,0.83
3,V,180,1.94
3,V,150,4.32
3,V,120,8.26
3,V,90,13.39
3,V,60,18.35
3,V,30,20.99
3,V,14,21.5
3,V,7,22.13
3,V,3,22.13
3,V,1,22.13
3,V,0,22.23
3,W,330,0.01
3,W,300,0.01
3,W,270,0.03
3,W,240,0.08
3,W,210,0.18
3,W,180,0.43
3,W,150,0.96
3,W,120,1.83
3,W,90,2.98
3,W,60,3.97
3,W,30,4.57
3,W,14,4.61
3,W,7,4.8
3,W,3,4.89
3,W,1,4.9
3,W,0,4.9
3,Y,330,0.01
3,Y,300,0.03
3,Y,270,0.08
3,Y,240,0.19
3,Y,210,0.48
3,Y,180,1.1
3,Y,150,2.37
3,Y,120,4.55
3,Y,90,7.6
3,Y,60,10.15
3,Y,30,11.47
3,Y,14,12.36
3,Y,7,12.36
3,Y,3,12.58
3,Y,1,12.74
3,Y,0,12.74
4,A,330,0.0
4,A,300,0.01
4,A,270,0.03
4,A,240,0.07
4,A,210,0.16
4,A,180,0.38
4,A,150,0.84
4,A,120,1.6
4,A,90,2.59
4,A,60,3.44
4,A,30,3.93
4,A,14,4.2
4,A,7,4.2
4,A,3,4.38
4,A,1,4.38
4,A,0,4.38
4,B,330,0.04
4,B,300,0.11
4,B,270,0.25
4,B,240,0.64
4,B,210,1.51
4,B,180,3.64
4,B,150,8.13
4,B,120,15.78
4,B,90,25.26
4,B,60,32.89
4,B,30,39.66
4,B,14,41.43
4,B,7,41.43
4,B,3,41.9
4,B,1,41.9
4,B,0,42.24
4,C,330,0.02
4,C,300,0.04
4,C,270,0.09
4,C,240,0.23
4,C,210,0.57
4,C,180,1.28
4,C,150,2.86
4,C,120,5.3
4,C,90,8.73
4,C,60,11.49
4,C,30,14.07
4,C,14,14.54
4,C,7,14.78
4,C,3,14.94
4,C,1,14.94
4,C,0,14.94
4,D,330,0.0
4,D,300,0.0
4,D,270,0.0
4,D,240,0.01
4,D,210,0.03
4,D,180,0.07
4,D,150,0.14
4,D,120,0.27
4,D,90,0.46
4,D,60,0.61
4,D,30,0.72
4,D,14,0.73
4,D,7,0.73
4,D,3,0.76
4,D,1,0.76
4,D,0,0.76
4,F,330,0.01
4,F,300,0.02
4,F,270,0.05
4,F,240,0.13
4,F,210,0.32
4,F,180,0.72
4,F,150,1.6
4,F,120,3.23
4,F,90,5.03
4,F,60,6.82
4,F,30,8.14
4,F,14,8.15
4,F,7,8.22
4,F,3,8.47
4,F,1,8.47
4,F,0,8.55
4,H,330,0.03
4,H,300,0.07
4,H,270,0.18
4,H,240,0.43
4,H,210,1.03
4,H,180,2.47
4,H,150,5.3
4,H,120,10.42
4,H,90,16.49
4,H,60,22.57
4,H,30,25.93
4,H,14,27.89
4,H,7,27.89
4,H,3,27.89
4,H,1,27.93
4,H,0,28.42
4,I,330,0.05
4,I,300,0.13
4,I,270,0.34
4,I,240,0.82
4,I,210,1.9
4,I,180,4.49
4,I,150,10.04
4,I,120,19.67
4,I,90,31.69
4,I,60,41.12
4,I,30,47.16
4,I,14,50.09
4,I,7,51.54
4,I,3,51.54
4,I,1,51.54
4,I,0,52.4
4,J,330,0.0
4,J,300,0.01
4,J,270,0.02
4,J,240,0.04
4,J,210,0.1
4,J,180,0.24
4,J,150,0.52
4,J,120,1.02
4,J,90,1.73
4,J,60,2.21
4,J,30,2.61
4,J,14,2.73
4,J,7,2.75
4,J,3,2.79
4,J,1,2.79
4,J,0,2.79
4,M,330,0.02
4,M,300,0.04
4,M,270,0.09
4,M,240,0.22
4,M,210,0.52
4,M,180,1.23
4,M,150,2.68
4,M,120,5.21
4,M,90,8.77
4,M,60,11.36
4,M,30,13.68
4,M,14,14.31
4,M,7,14.31
4,M,3,14.31
4,M,1,14.31
4,M,0,14.52
4,Q,330,0.03
4,Q,300,0.08
4,Q,270,0.19
4,Q,240,0.48
4,Q,210,1.15
4,Q,180,2.59
4,Q,150,5.85
4,Q,120,11.05
4,Q,90,17.92
4,Q,60,24.93
4,Q,30,27.85
4,Q,14,29.07
4,Q,7,29.07
4,Q,3,30.76
4,Q,1,30.76
4,Q,0,30.76
4,S,330,0.06
4,S,300,0.15
4,S,270,0.36
4,S,240,0.87
4,S,210,2.08
4,S,180,4.98
4,S,150,11.2
4,S,120,20.61
4,S,90,33.94
4,S,60,45.18
4,S,30,52.47
4,S,14,56.98
4,S,7,56.98
4,S,3,56.98
4,S,1,57.81
4,S,0,57.81
4,V,330,0.01
4,V,300,0.02
4,V,270,0.05
4,V,240,0.12
4,V,210,0.29
4,V,180,0.68
4,V,150,1.53
4,V,120,2.84
4,V,90,4.58
4,V,60,6.19
4,V,30,7.23
4,V,14,7.62
4,V,7,7.77
4,V,3,7.96
4,V,1,7.96
4,V,0,7.96
4,W,330,0.14
4,W,300,0.34
4,W,270,0.85
4,W,240,2.06
4,W,210,5.08
4,W,180,11.41
4,W,150,24.82
4,W,120,49.48
4,W,90,79.18
4,W,60,104.73
4,W,30,126.46
4,W,14,127.16
4,W,7,132.81
4,W,3,132.81
4,W,1,132.81
4,W,0,132.81
4,Y,330,0.01
4,Y,300,0.03
4,Y,270,0.07
4,Y,240,0.18
4,Y,210,0.44
4,Y,180,0.98
4,Y,150,2.21
4,Y,120,4.27
4,Y,90,7.08
4,Y,60,9.17
4,Y,30,10.42
4,Y,14,10.84
4,Y,7,11.53
4,Y,3,11.53
4,Y,1,11.61
4,Y,0,11.61
5,A,330,0.01
5,A,300,0.01
5,A,270,0.03
5,A,240,0.08
5,A,210,0.19
5,A,180,0.42
5,A,150,0.96
5,A,120,1.86
5,A,90,2.96
5,A,60,4.08
5,A,30,4.75
5,A,14,4.95
5,A,7,4.97
5,A,3,4.97
5,A,1,4.97
5,A,0,5.1
5,B,330,0.03
5,B,300,0.07
5,B,270,0.17
5,B,240,0.43
5,B,210,1.06
5,B,180,2.37
5,B,150,5.21
5,B,120,9.96
5,B,90,16.51
5,B,60,21.85
5,B,30,25.46
5,B,14,27.35
5,B,7,27.88
5,B,3,27.88
5,B,1,27.88
5,B,0,28.19
5,C,330,0.04
5,C,300,0.1
5,C,270,0.24
5,C,240,0.58
5,C,210,1.37
5,C,180,3.37
5,C,150,7.18
5,C,120,13.99
5,C,90,22.34
5,C,60,30.29
5,C,30,35.51
5,C,14,37.24
5,C,7,37.76
5,C,3,37.76
5,C,1,38.46
5,C,0,38.46
5,D,330,0.0
5,D,300,0.0
5,D,270,0.01
5,D,240,0.02
5,D,210,0.05
5,D,180,0.12
5,D,150,0.26
5,D,120,0.52
5,D,90,0.84
5,D,60,1.13
5,D,30,1.27
5,D,14,1.35
5,D,7,1.35
5,D,3,1.35
5,D,1,1.35
5,D,0,1.36
5,F,330,0.01
5,F,300,0.02
5,F,270,0.04
5,F,240,0.1
5,F,210,0.23
5,F,180,0.53
5,F,150,1.18
5,F,120,2.27
5,F,90,3.74
5,F,60,4.96
5,F,30,5.65
5,F,14,5.88
5,F,7,6.12
5,F,3,6.3
5,F,1,6.3
5,F,0,6.3
5,H,330,0.02
5,H,300,0.06
5,H,270,0.14
5,H,240,0.34
5,H,210,0.84
5,H,180,1.98
5,H,150,4.2
5,H,120,8.13
5,H,90,12.94
5,H,60,18.18
5,H,30,21.04
5,H,14,21.06
5,H,7,21.96
5,H,3,21.96
5,H,1,21.96
5,H,0,22.74
5,I,330,0.0
5,I,300,0.01
5,I,270,0.02
5,I,240,0.05
5,I,210,0.12
5,I,180,0.28
5,I,150,0.62
5,I,120,1.17
5,I,90,1.9
5,I,60,2.61
5,I,30,2.97
5,I,14,3.22
5,I,7,3.24
5,I,3,3.29
5,I,1,3.29
5,I,0,3.31
5,J,330,0.01
5,J,300,0.03
5,J,270,0.09
5,J,240,0.2
5,J,210,0.51
5,J,180,1.17
5,J,150,2.53
5,J,120,5.03
5,J,90,7.98
5,J,60,10.89
5,J,30,12.46
5,J,14,13.36
5,J,7,13.55
5,J,3,13.55
5,J,1,13.55
5,J,0,13.55
5,M,330,0.04
5,M,300,0.09
5,M,270,0.22
5,M,240,0.52
5,M,210,1.28
5,M,180,3.0
5,M,150,6.71
5,M,120,12.57
5,M,90,20.57
5,M,60,28.23
5,M,30,32.75
5,M,14,33.3
5,M,7,33.9
5,M,3,33.9
5,M,1,35.2
5,M,0,35.2
5,Q,330,0.13
5,Q,300,0.32
5,Q,270,0.78
5,Q,240,1.86
5,Q,210,4.59
5,Q,180,10.7
5,Q,150,23.11
5,Q,120,46.26
5,Q,90,76.39
5,Q,60,99.76
5,Q,30,116.7
5,Q,14,117.11
5,Q,7,121.25
5,Q,3,121.25
5,Q,1,123.85
5,Q,0,126.44
5,S,330,0.06
5,S,300,0.14
5,S,270,0.35
5,S,240,0.85
5,S,210,2.03
5,S,180,4.87
5,S,150,10.66
5,S,120,20.46
5,S,90,32.69
5,S,60,43.42
5,S,30,49.88
5,S,14,52.85
5,S,7,53.75
5,S,3,54.95
5,S,1,55.07
5,S,0,55.07
5,V,330,0.03
5,V,300,0.08
5,V,270,0.2
5,V,240,0.49
5,V,210,1.12
5,V,180,2.68
5,V,150,5.78
5,V,120,11.72
5,V,90,18.64
5,V,60,24.45
5,V,30,28.81
5,V,14,30.48
5,V,7,31.31
5,V,3,31.31
5,V,1,31.47
5,V,0,31.61
5,W,330,0.02
5,W,300,0.06
5,W,270,0.15
5,W,240,0.36
5,W,210,0.87
5,W,180,2.01
5,W,150,4.46
5,W,120,8.53
5,W,90,14.08
5,W,60,18.94
5,W,30,21.08
5,W,14,22.92
5,W,7,22.92
5,W,3,23.39
5,W,1,23.39
5,W,0,23.39
5,Y,330,0.0
5,Y,300,0.01
5,Y,270,0.02
5,Y,240,0.05
5,Y,210,0.12
5,Y,180,0.28
5,Y,150,0.62
5,Y,120,1.19
5,Y,90,1.9
5,Y,60,2.57
5,Y,30,2.93
5,Y,14,3.24
5,Y,7,3.29
5,Y,3,3.29
5,Y,1,3.29
5,Y,0,3.29
6,B,330,0.0
6,B,300,0.01
6,B,270,0.02
6,B,240,0.05
6,B,210,0.12
6,B,180,0.28
6,B,150,0.63
6,B,120,1.15
6,B,90,1.92
6,B,60,2.58
6,B,30,2.99
6,B,14,3.02
6,B,7,3.21
6,B,3,3.21
6,B,1,3.21
6,B,0,3.21
6,C,330,0.0
6,C,300,0.01
6,C,270,0.02
6,C,240,0.05
6,C,210,0.12
6,C,180,0.27
6,C,150,0.61
6,C,120,1.19
6,C,90,1.84
6,C,60,2.5
6,C,30,2.86
6,C,14,2.96
6,C,7,3.13
6,C,3,3.14
6,C,1,3.14
6,C,0,3.14
6,D,330,0.0
6,D,300,0.0
6,D,270,0.0
6,D,240,0.0
6,D,210,0.01
6,D,180,0.01
6,D,150,0.03
6,D,120,0.06
6,D,90,0.09
6,D,60,0.12
6,D,30,0.14
6,D,14,0.15
6,D,7,0.15
6,D,3,0.15
6,D,1,0.15
6,D,0,0.15
6,H,330,0.03
6,H,300,0.06
6,H,270,0.15
6,H,240,0.37
6,H,210,0.93
6,H,180,2.12
6,H,150,4.57
6,H,120,9.1
6,H,90,14.37
6,H,60,19.96
6,H,30,22.43
6,H,14,23.65
6,H,7,23.65
6,H,3,23.94
6,H,1,24.61
6,H,0,24.61
6,I,330,0.01
6,I,300,0.02
6,I,270,0.05
6,I,240,0.13
6,I,210,0.3
6,I,180,0.73
6,I,150,1.58
6,I,120,3.18
6,I,90,4.92
6,I,60,6.63
6,I,30,7.95
6,I,14,7.95
6,I,7,8.28
6,I,3,8.3
6,I,1,8.3
6,I,0,8.32
6,J,330,0.0
6,J,300,0.0
6,J,270,0.0
6,J,240,0.0
6,J,210,0.01
6,J,180,0.03
6,J,150,0.06
6,J,120,0.11
6,J,90,0.18
6,J,60,0.24
6,J,30,0.27
6,J,14,0.28
6,J,7,0.28
6,J,3,0.29
6,J,1,0.29
6,J,0,0.29
6,M,330,0.0
6,M,300,0.0
6,M,270,0.0
6,M,240,0.0
6,M,210,0.0
6,M,180,0.01
6,M,150,0.02
6,M,120,0.03
6,M,90,0.05
6,M,60,0.06
6,M,30,0.07
6,M,14,0.08
6,M,7,0.08
6,M,3,0.08
6,M,1,0.08
6,M,0,0.08
6,Q,330,0.02
6,Q,300,0.05
6,Q,270,0.11
6,Q,240,0.28
6,Q,210,0.65
6,Q,180,1.57
6,Q,150,3.46
6,Q,120,6.65
6,Q,90,10.68
6,Q,60,14.22
6,Q,30,16.77
6,Q,14,16.9
6,Q,7,17.32
6,Q,3,17.6
6,Q,1,17.6
6,Q,0,17.6
6,S,330,0.0
6,S,300,0.0
6,S,270,0.01
6,S,240,0.02
6,S,210,0.04
6,S,180,0.1
6,S,150,0.21
6,S,120,0.41
6,S,90,0.67
6,S,60,0.86
6,S,30,1.05
6,S,14,1.05
6,S,7,1.12
6,S,3,1.12
6,S,1,1.12
6,S,0,1.12
6,V,330,0.02
6,V,300,0.05
6,V,270,0.12
6,V,240,0.28
6,V,210,0.68
6,V,180,1.68
6,V,150,3.61
6,V,120,7.08
6,V,90,11.14
6,V,60,15.22
6,V,30,17.56
6,V,14,18.33
6,V,7,18.66
6,V,3,18.66
6,V,1,18.66
6,V,0,18.66
6,W,330,0.02
6,W,300,0.05
6,W,270,0.13
6,W,240,0.32
6,W,210,0.8
6,W,180,1.87
6,W,150,3.97
6,W,120,7.64
6,W,90,12.44
6,W,60,17.13
6,W,30,20.14
6,W,14,20.14
6,W,7,21.15
6,W,3,21.15
6,W,1,21.15
6,W,0,21.63
6,Y,330,0.02
6,Y,300,0.05
6,Y,270,0.13
6,Y,240,0.32
6,Y,210,0.78
6,Y,180,1.8
6,Y,150,4.08
6,Y,120,7.84
6,Y,90,12.8
6,Y,60,16.74
6,Y,30,19.54
6,Y,14,20.84
6,Y,7,21.5
6,Y,3,21.5
6,Y,1,21.61
6,Y,0,21.61
7,A,330,0.0
7,A,300,0.0
7,A,270,0.01
7,A,240,0.02
7,A,210,0.05
7,A,180,0.12
7,A,150,0.28
7,A,120,0.52
7,A,90,0.83
7,A,60,1.14
7,A,30,1.3
7,A,14,1.37
7,A,7,1.41
7,A,3,1.43
7,A,1,1.43
7,A,0,1.43
7,B,330,0.01
7,B,300,0.04
7,B,270,0.09
7,B,240,0.2
7,B,210,0.5
7,B,180,1.18
7,B,150,2.67
7,B,120,5.16
7,B,90,8.35
7,B,60,10.79
7,B,30,13.05
7,B,14,13.29
7,B,7,13.74
7,B,3,13.75
7,B,1,13.75
7,B,0,13.75
7,C,330,0.01
7,C,300,0.03
7,C,270,0.08
7,C,240,0.19
7,C,210,0.45
7,C,180,1.07
7,C,150,2.41
7,C,120,4.7
7,C,90,7.32
7,C,60,9.72
7,C,30,11.77
7,C,14,12.02
7,C,7,12.1
7,C,3,12.1
7,C,1,12.43
7,C,0,12.68
7,D,330,0.01
7,D,300,0.01
7,D,270,0.03
7,D,240,0.08
7,D,210,0.19
7,D,180,0.45
7,D,150,0.99
7,D,120,1.89
7,D,90,3.03
7,D,60,4.02
7,D,30,4.73
7,D,14,4.87
7,D,7,4.96
7,D,3,5.24
7,D,1,5.24
7,D,0,5.24
7,F,330,0.01
7,F,300,0.01
7,F,270,0.03
7,F,240,0.08
7,F,210,0.19
7,F,180,0.43
7,F,150,0.96
7,F,120,1.91
7,F,90,3.09
7,F,60,4.04
7,F,30,4.64
7,F,14,4.99
7,F,7,4.99
7,F,3,5.07
7,F,1,5.12
7,F,0,5.13
7,H,330,0.04
7,H,300,0.09
7,H,270,0.23
7,H,240,0.56
7,H,210,1.34
7,H,180,3.04
7,H,150,6.61
7,H,120,13.04
7,H,90,21.35
7,H,60,28.85
7,H,30,33.92
7,H,14,34.03
7,H,7,34.34
7,H,3,36.34
7,H,1,36.34
7,H,0,36.34
7,I,330,0.0
7,I,300,0.0
7,I,270,0.01
7,I,240,0.01
7,I,210,0.03
7,I,180,0.07
7,I,150,0.16
7,I,120,0.31
7,I,90,0.5
7,I,60,0.68
7,I,30,0.76
7,I,14,0.82
7,I,7,0.84
7,I,3,0.84
7,I,1,0.84
7,I,0,0.85
7,J,330,0.03
7,J,300,0.07
7,J,270,0.16
7,J,240,0.4
7,J,210,0.93
7,J,180,2.23
7,J,150,4.83
7,J,120,9.23
7,J,90,15.43
7,J,60,20.48
7,J,30,23.46
7,J,14,25.29
7,J,7,25.29
7,J,3,25.29
7,J,1,25.29
7,J,0,25.7
